,full_name,rating,team,position,height,weight,salary
61,Jusuf Nurkic,83,Portland Trail Blazers,C,84,290 ,$12000000
62,Julius Randle,83,New York Knicks,F,80,250 ,$18000000
63,Marc Gasol,82,Toronto Raptors,C,83,265 ,$25595700
64,Steven Adams,82,Oklahoma City Thunder,C,83,255 ,$25842697
65,Deandre Ayton,82,Phoenix Suns,C,83,250 ,$9562920
66,Spencer Dinwiddie,82,Brooklyn Nets,G,77,205 ,$10605600
67,Jaren Jackson,82,Memphis Grizzlies,F-C,83,242 ,$6699960
68,Paul Millsap,82,Denver Nuggets,F-C,79,250 ,$30350000
69,Marcus Smart,82,Boston Celtics,G,75,227 ,$12553571
70,Myles Turner,82,Indiana Pacers,F-C,83,239 ,$18000000
71,Serge Ibaka,81,Toronto Raptors,F,84,240 ,$23271604
72,Zion Williamson,81,New Orleans Pelicans,F,78,284 ,$9757440
73,Rudy Gay,81,San Antonio Spurs,F,80,230 ,$14500000
74,Aaron Gordon,81,Orlando Magic,F,80,220 ,$19863636
75,Brandon Ingram,81,New Orleans Pelicans,F,79,196 ,$7265485
76,DeAndre Jordan,81,Brooklyn Nets,C,83,265 ,$9881598
77,Domantas Sabonis,81,Indiana Pacers,F-C,83,231 ,$3529554
78,Jonas Valanciunas,81,Memphis Grizzlies,C,83,231 ,$16000000
79,Hassan Whiteside,81,Portland Trail Blazers,C,84,235 ,$27093018
80,Derrick Rose,80,Detroit Pistons,G,74,190 ,$7317074
81,Robert Covington,80,Houston Rockets,F,79,209 ,$11301219
82,Derrick Favors,80,New Orleans Pelicans,F,81,246 ,$17650000
83,Gordon Hayward,80,Boston Celtics,F,79,207 ,$32700690
84,Reggie Jackson,80,Los Angeles Clippers,G,75,208 ,$17799677
85,Enes Kanter,80,Boston Celtics,C,82,262 ,$4767000
86,Otto Porter,80,Chicago Bulls,F,80,198 ,$27250576
87,JJ Redick,80,New Orleans Pelicans,G,75,190 ,$13486300
88,Josh Richardson,80,Philadelphia 76ers,G,77,200 ,$10116576
89,TJ Warren,80,Indiana Pacers,F,80,220 ,$11060000
90,Ja Morant,79,Memphis Grizzlies,G,75,174 ,$8730240
91,Bam Adebayo,79,Miami Heat,F-C,81,243 ,$3454080
92,Jarrett Allen,79,Brooklyn Nets,C,83,234 ,$2376840
93,Lonzo Ball,79,New Orleans Pelicans,G,78,190 ,$8719320
94,Harrison Barnes,79,Sacramento Kings,F,80,210 ,$24147727
95,Patrick Beverley,79,Los Angeles Clippers,G,73,180 ,$12345680
96,Jaylen Brown,79,Boston Celtics,F,78,223 ,$6534829
97,Willie Cauley-Stein,79,Dallas Mavericks,C,84,242 ,$2177483
98,Goran Dragic,79,Miami Heat,G,75,190 ,$19217900
99,Shai Gilgeous-Alexander,79,Oklahoma City Thunder,G,77,180 ,$3952920
100,Gary Harris,79,Denver Nuggets,G,76,205 ,$17839286
101,Joe Ingles,79,Utah Jazz,F,79,209 ,$11454546
102,Jeremy Lamb,79,Indiana Pacers,G,77,180 ,$10500000
103,Brook Lopez,79,Milwaukee Bucks,C,84,265 ,$12093024
104,JaVale McGee,79,Los Angeles Lakers,C,84,270 ,$4000000
105,Mitchell Robinson,79,New York Knicks,C,84,223 ,$1559712
106,Terrence Ross,79,Orlando Magic,G,78,206 ,$12500000
107,Tristan Thompson,79,Cleveland Cavaliers,F,81,225 ,$18539130
108,PJ Tucker,79,Houston Rockets,F,77,225 ,$8349039
109,Fred VanVleet,79,Toronto Raptors,G,73,197 ,$9346153
110,Andrew Wiggins,79,Golden State Warriors,F,79,197 ,$27504630
111,Thaddeus Young,79,Chicago Bulls,F,80,220 ,$12900000
